Gene	Sample	Value
TNFRSF21	NKI_181	0.126
PHGDH	NKI_181	-0.121
TFF3	NKI_181	0.382
STS-1	NKI_181	0.102
TCEAL1	NKI_181	-0.598
GABRP	NKI_181	-0.406
FLJ21127	NKI_181	-0.072
BCL2	NKI_181	-0.479
MOAP1	NKI_181	-0.021
ACOT4	NKI_181	0.162
YBX1	NKI_181	-0.095
SOD2	NKI_181	-0.115
MREG	NKI_181	-0.444
CDH3	NKI_181	-0.811
C10orf38	NKI_181	-0.193
RARRES1	NKI_181	-0.109
ABTB2	NKI_181	0.016
RERG	NKI_181	-0.595
ST8SIA1	NKI_181	-0.009
SIRPA	NKI_181	-0.045
MICALL1	NKI_181	-0.282
CDCA7	NKI_181	-0.22
ERBB4	NKI_181	-0.259
QSCN6L1	NKI_181	0.196
CYP2B6	NKI_181	-0.895
CIRBP	NKI_181	-0.209
ERBB3	NKI_181	-0.101
CHCHD5	NKI_181	-0.088
LOC124220	NKI_181	-0.296
TMCC2	NKI_181	-0.106
DACH1	NKI_181	-0.484
HMGCL	NKI_181	-0.208
NCOA7	NKI_181	0.324
FSCN1	NKI_181	-0.12
KCNN4	NKI_181	0.05
CPEB2	NKI_181	-0.286
CYP2B6	NKI_181	-0.701
AKR7A3	NKI_181	0.415
FLJ20273	NKI_181	0.165
JMJD2B	NKI_181	-0.248
CDK2AP1	NKI_181	-0.19
HEXIM1	NKI_181	-0.075
SH2D2A	NKI_181	0.34
IFNAR2	NKI_181	0.424
ASNS	NKI_181	0.121
MLZE	NKI_181	-0.133
SKP1A	NKI_181	-0.09
MYO5C	NKI_181	0.047
APOBEC3B	NKI_181	0.169
LRBA	NKI_181	0.067
UBXD3	NKI_181	-0.165
DSC2	NKI_181	-0.121
TEGT	NKI_181	0.142
EML4	NKI_181	-0.008
KARCA1	NKI_181	-0.093
GATA3	NKI_182	-0.2
CA12	NKI_182	-0.069
THSD4	NKI_182	-0.071
AFF3	NKI_182	-0.469
TBC1D9	NKI_182	-0.006
FOXA1	NKI_182	-0.226
GREB1	NKI_182	-0.227
DNALI1	NKI_182	-0.278
VGLL1	NKI_182	-0.545
PRR15	NKI_182	-0.29
SLC7A2	NKI_182	0.118
XBP1	NKI_182	0.129
SCUBE2	NKI_182	0.345
MYB	NKI_182	-0.084
B3GNT5	NKI_182	-0.131
CELSR1	NKI_182	0.137
NAT1	NKI_182	0.163
MAGED2	NKI_182	-0.082
VAV3	NKI_182	-0.052
FBP1	NKI_182	-0.259
BCL11A	NKI_182	-0.167
SOD2	NKI_182	0.169
AGR2	NKI_182	-0.678
ERBB4	NKI_182	-0.35
TNFRSF21	NKI_182	0.047
PHGDH	NKI_182	-0.341
TFF3	NKI_182	-1.188
STS-1	NKI_182	0.027
TCEAL1	NKI_182	0.012
GABRP	NKI_182	-0.16
FLJ21127	NKI_182	0.017
BCL2	NKI_182	-0.019
MOAP1	NKI_182	-0.116
ACOT4	NKI_182	-0.112
YBX1	NKI_182	0.085
SOD2	NKI_182	0.101
MREG	NKI_182	-0.107
CDH3	NKI_182	0.124
C10orf38	NKI_182	0.255
RARRES1	NKI_182	-0.162
ABTB2	NKI_182	0.032
RERG	NKI_182	-0.12
ST8SIA1	NKI_182	0.029
SIRPA	NKI_182	0.074
MICALL1	NKI_182	0.158
CDCA7	NKI_182	-0.473
ERBB4	NKI_182	-0.217
QSCN6L1	NKI_182	-0.054
CYP2B6	NKI_182	-0.844
CIRBP	NKI_182	0.136
ERBB3	NKI_182	-0.152
CHCHD5	NKI_182	-0.038
LOC124220	NKI_182	-0.383
TMCC2	NKI_182	0.057
DACH1	NKI_182	-0.26
HMGCL	NKI_182	-0.023
NCOA7	NKI_182	-0.158
FSCN1	NKI_182	0.163
KCNN4	NKI_182	0.02
CPEB2	NKI_182	0.05
CYP2B6	NKI_182	-0.715
AKR7A3	NKI_182	-0.207
FLJ20273	NKI_182	-0.071
JMJD2B	NKI_182	0.113
CDK2AP1	NKI_182	0.099
HEXIM1	NKI_182	0.068
SH2D2A	NKI_182	-0.044
IFNAR2	NKI_182	0.072
ASNS	NKI_182	-0.161
MLZE	NKI_182	-0.046
SKP1A	NKI_182	-0.215
MYO5C	NKI_182	0.087
APOBEC3B	NKI_182	-0.198
LRBA	NKI_182	-0.137
UBXD3	NKI_182	-0.071
DSC2	NKI_182	-0.036
TEGT	NKI_182	-0.028
EML4	NKI_182	0.065
KARCA1	NKI_182	-0.286
GATA3	NKI_183	0.072
CA12	NKI_183	-0.173
THSD4	NKI_183	-0.033
AFF3	NKI_183	-0.213
TBC1D9	NKI_183	0.198
FOXA1	NKI_183	0.193
GREB1	NKI_183	0.073
DNALI1	NKI_183	0.074
VGLL1	NKI_183	-0.501
PRR15	NKI_183	-0.046
SLC7A2	NKI_183	-0.064
XBP1	NKI_183	0.243
SCUBE2	NKI_183	-0.017
MYB	NKI_183	0.491
B3GNT5	NKI_183	-0.025
CELSR1	NKI_183	0.396
NAT1	NKI_183	0.317
MAGED2	NKI_183	-0.216
VAV3	NKI_183	0.319
FBP1	NKI_183	0.053
BCL11A	NKI_183	-0.28
SOD2	NKI_183	-0.301
AGR2	NKI_183	-0.121
ERBB4	NKI_183	0.248
TNFRSF21	NKI_183	-0.094
PHGDH	NKI_183	-0.262
TFF3	NKI_183	0.252
STS-1	NKI_183	-0.087
TCEAL1	NKI_183	0.034
GABRP	NKI_183	-0.309
FLJ21127	NKI_183	0.188
BCL2	NKI_183	0.009
MOAP1	NKI_183	-0.009
ACOT4	NKI_183	0.018
YBX1	NKI_183	0.024
SOD2	NKI_183	-0.263
MREG	NKI_183	0.11
CDH3	NKI_183	-0.737
C10orf38	NKI_183	-0.169
RARRES1	NKI_183	-0.199
ABTB2	NKI_183	-0.107
RERG	NKI_183	0.014
ST8SIA1	NKI_183	-0.081
SIRPA	NKI_183	-0.032
MICALL1	NKI_183	-0.229
CDCA7	NKI_183	-0.546
ERBB4	NKI_183	0.336
QSCN6L1	NKI_183	-0.219
CYP2B6	NKI_183	-0.511
CIRBP	NKI_183	0.244
ERBB3	NKI_183	0.103
CHCHD5	NKI_183	0.121
LOC124220	NKI_183	0.161
TMCC2	NKI_183	-0.194
DACH1	NKI_183	0.217
HMGCL	NKI_183	0.05
NCOA7	NKI_183	-0.213
FSCN1	NKI_183	-0.094
KCNN4	NKI_183	-0.23
CPEB2	NKI_183	-0.066
CYP2B6	NKI_183	-0.313
AKR7A3	NKI_183	0.23
FLJ20273	NKI_183	0.16
JMJD2B	NKI_183	0.194
CDK2AP1	NKI_183	-0.148
HEXIM1	NKI_183	-0.012
SH2D2A	NKI_183	0.071
IFNAR2	NKI_183	0.087
ASNS	NKI_183	-0.31
MLZE	NKI_183	-0.067
SKP1A	NKI_183	-0.118
MYO5C	NKI_183	0.161
APOBEC3B	NKI_183	-0.191
LRBA	NKI_183	0.083
UBXD3	NKI_183	0.332
DSC2	NKI_183	-0.141
TEGT	NKI_183	0.13
EML4	NKI_183	-0.042
KARCA1	NKI_183	-0.131
GATA3	NKI_184	-1.085
CA12	NKI_184	-0.735
THSD4	NKI_184	-0.975
AFF3	NKI_184	-0.506
TBC1D9	NKI_184	-0.637
FOXA1	NKI_184	-1.509
GREB1	NKI_184	-0.731
DNALI1	NKI_184	-1.053
VGLL1	NKI_184	1.025
PRR15	NKI_184	-0.945
SLC7A2	NKI_184	-0.707
XBP1	NKI_184	-0.421
SCUBE2	NKI_184	-1.044
MYB	NKI_184	-0.679
B3GNT5	NKI_184	0.504
CELSR1	NKI_184	-0.603
NAT1	NKI_184	-0.761
MAGED2	NKI_184	-0.378
VAV3	NKI_184	-0.788
FBP1	NKI_184	-0.423
BCL11A	NKI_184	0.598
SOD2	NKI_184	0.141
AGR2	NKI_184	-0.996
ERBB4	NKI_184	-0.579
TNFRSF21	NKI_184	0.424
PHGDH	NKI_184	0.367
TFF3	NKI_184	-1.39
STS-1	NKI_184	0.407
TCEAL1	NKI_184	-0.229
GABRP	NKI_184	0.605
FLJ21127	NKI_184	-0.384
BCL2	NKI_184	-0.268
MOAP1	NKI_184	-0.228
ACOT4	NKI_184	-0.264
YBX1	NKI_184	0.207
SOD2	NKI_184	0.089
MREG	NKI_184	-0.24
CDH3	NKI_184	-0.216
C10orf38	NKI_184	0.247
RARRES1	NKI_184	0.069
ABTB2	NKI_184	0.308
RERG	NKI_184	-0.51
ST8SIA1	NKI_184	0.164
SIRPA	NKI_184	0.489
MICALL1	NKI_184	0.359
CDCA7	NKI_184	0.539
ERBB4	NKI_184	-0.345
QSCN6L1	NKI_184	0.103
CYP2B6	NKI_184	-0.726
CIRBP	NKI_184	-0.222
ERBB3	NKI_184	-0.42
CHCHD5	NKI_184	-0.167
LOC124220	NKI_184	-0.839
TMCC2	NKI_184	0.157
DACH1	NKI_184	-0.325
HMGCL	NKI_184	-0.239
NCOA7	NKI_184	0.299
FSCN1	NKI_184	0.547
KCNN4	NKI_184	0.345
CPEB2	NKI_184	-0.219
CYP2B6	NKI_184	-0.697
AKR7A3	NKI_184	-0.885
FLJ20273	NKI_184	-0.377
JMJD2B	NKI_184	-0.206
CDK2AP1	NKI_184	0.085
HEXIM1	NKI_184	-0.33
SH2D2A	NKI_184	0.255
IFNAR2	NKI_184	0.264
ASNS	NKI_184	0.288
MLZE	NKI_184	0.055
SKP1A	NKI_184	-0.266
MYO5C	NKI_184	-0.389
APOBEC3B	NKI_184	0.309
LRBA	NKI_184	-0.518
UBXD3	NKI_184	-0.413
DSC2	NKI_184	0.223
TEGT	NKI_184	-0.329
EML4	NKI_184	0.118
KARCA1	NKI_184	-0.674
GATA3	NKI_185	0.122
CA12	NKI_185	0.122
THSD4	NKI_185	0.11
AFF3	NKI_185	-0.17
TBC1D9	NKI_185	0.057
FOXA1	NKI_185	-0.007
GREB1	NKI_185	-0.028
DNALI1	NKI_185	0.139
VGLL1	NKI_185	-0.553
PRR15	NKI_185	-0.05
SLC7A2	NKI_185	0.32
XBP1	NKI_185	-0.139
SCUBE2	NKI_185	-0.09
MYB	NKI_185	0.151
B3GNT5	NKI_185	-0.176
CELSR1	NKI_185	-0.304
NAT1	NKI_185	0.254
MAGED2	NKI_185	0.079
VAV3	NKI_185	0.248
FBP1	NKI_185	-0.263
BCL11A	NKI_185	-0.577
SOD2	NKI_185	-0.191
AGR2	NKI_185	-0.469
ERBB4	NKI_185	0.02
TNFRSF21	NKI_185	-0.009
PHGDH	NKI_185	-0.494
TFF3	NKI_185	-1.173
STS-1	NKI_185	-0.217
TCEAL1	NKI_185	0.35
GABRP	NKI_185	-0.415
FLJ21127	NKI_185	0.181
BCL2	NKI_185	0.132
MOAP1	NKI_185	-0.09
ACOT4	NKI_185	-0.008
YBX1	NKI_185	-0.263
SOD2	NKI_185	-0.138
MREG	NKI_185	-0.113
CDH3	NKI_185	-0.387
C10orf38	NKI_185	-0.333
RARRES1	NKI_185	-0.403
ABTB2	NKI_185	0.05
RERG	NKI_185	0.243
ST8SIA1	NKI_185	0.056
SIRPA	NKI_185	-0.258
MICALL1	NKI_185	-0.223
CDCA7	NKI_185	-0.105
ERBB4	NKI_185	0.032
QSCN6L1	NKI_185	-0.111
CYP2B6	NKI_185	0.117
CIRBP	NKI_185	0.142
ERBB3	NKI_185	0.133
CHCHD5	NKI_185	-0.033
LOC124220	NKI_185	0.166
TMCC2	NKI_185	-0.195
DACH1	NKI_185	-0.538
HMGCL	NKI_185	0.03
NCOA7	NKI_185	-0.241
FSCN1	NKI_185	-0.049
KCNN4	NKI_185	-0.195
CPEB2	NKI_185	0.156
CYP2B6	NKI_185	0.09
AKR7A3	NKI_185	-0.214
FLJ20273	NKI_185	0.203
JMJD2B	NKI_185	0.076
CDK2AP1	NKI_185	-0.132
HEXIM1	NKI_185	0.105
SH2D2A	NKI_185	-0.417
IFNAR2	NKI_185	-0.127
ASNS	NKI_185	-0.148
MLZE	NKI_185	-0.063
SKP1A	NKI_185	0.146
MYO5C	NKI_185	0.071
APOBEC3B	NKI_185	-0.196
LRBA	NKI_185	-0.113
UBXD3	NKI_185	0.216
DSC2	NKI_185	-0.312
TEGT	NKI_185	0.041
EML4	NKI_185	-0.195
KARCA1	NKI_185	0.239
GATA3	NKI_186	-0.63
CA12	NKI_186	-0.463
THSD4	NKI_186	-0.782
AFF3	NKI_186	-0.759
TBC1D9	NKI_186	-0.943
FOXA1	NKI_186	-1.6
GREB1	NKI_186	-0.584
DNALI1	NKI_186	-1.004
VGLL1	NKI_186	-0.029
PRR15	NKI_186	-1.301
SLC7A2	NKI_186	-0.749
XBP1	NKI_186	-0.501
SCUBE2	NKI_186	-0.933
MYB	NKI_186	-0.697
B3GNT5	NKI_186	0.691
CELSR1	NKI_186	-0.473
NAT1	NKI_186	-0.744
MAGED2	NKI_186	-0.524
VAV3	NKI_186	-0.364
FBP1	NKI_186	-0.271
BCL11A	NKI_186	0.446
SOD2	NKI_186	0.68
AGR2	NKI_186	-1.049
ERBB4	NKI_186	-0.683
TNFRSF21	NKI_186	0.25
PHGDH	NKI_186	0.581
TFF3	NKI_186	-1.309
STS-1	NKI_186	0.45
TCEAL1	NKI_186	-0.347
GABRP	NKI_186	-0.215
FLJ21127	NKI_186	-0.225
BCL2	NKI_186	-0.5
MOAP1	NKI_186	-0.306
ACOT4	NKI_186	-0.556
YBX1	NKI_186	0.214
SOD2	NKI_186	0.605
MREG	NKI_186	-0.247
CDH3	NKI_186	0.769
C10orf38	NKI_186	0.434
RARRES1	NKI_186	0.534
ABTB2	NKI_186	0.286
RERG	NKI_186	-0.44
ST8SIA1	NKI_186	0.199
SIRPA	NKI_186	0.452
MICALL1	NKI_186	0.383
CDCA7	NKI_186	0.47
ERBB4	NKI_186	-0.4
QSCN6L1	NKI_186	0.197
CYP2B6	NKI_186	-0.993
CIRBP	NKI_186	-0.15
ERBB3	NKI_186	-0.566
CHCHD5	NKI_186	-0.21
LOC124220	NKI_186	-1.138
TMCC2	NKI_186	0.452
DACH1	NKI_186	-0.385
HMGCL	NKI_186	-0.363
NCOA7	NKI_186	0.378
FSCN1	NKI_186	0.471
KCNN4	NKI_186	0.183
CPEB2	NKI_186	-0.319
CYP2B6	NKI_186	-0.892
AKR7A3	NKI_186	-0.778
FLJ20273	NKI_186	-0.282
JMJD2B	NKI_186	-0.087
CDK2AP1	NKI_186	0.3
HEXIM1	NKI_186	-0.237
SH2D2A	NKI_186	0.408
IFNAR2	NKI_186	0.229
ASNS	NKI_186	0.093
MLZE	NKI_186	0.217
SKP1A	NKI_186	-0.198
MYO5C	NKI_186	-0.387
APOBEC3B	NKI_186	0.055
LRBA	NKI_186	-0.266
UBXD3	NKI_186	-0.348
DSC2	NKI_186	0.117
TEGT	NKI_186	-0.36
EML4	NKI_186	0.299
KARCA1	NKI_186	-0.546
GATA3	NKI_187	-0.51
CA12	NKI_187	-0.264
THSD4	NKI_187	0.053
AFF3	NKI_187	-0.091
TBC1D9	NKI_187	-0.249
FOXA1	NKI_187	-0.258
GREB1	NKI_187	-0.06
DNALI1	NKI_187	-0.121
VGLL1	NKI_187	-0.314
PRR15	NKI_187	-0.245
SLC7A2	NKI_187	0.106
XBP1	NKI_187	-0.006
SCUBE2	NKI_187	-0.265
MYB	NKI_187	-0.397
B3GNT5	NKI_187	0.036
CELSR1	NKI_187	-0.457
NAT1	NKI_187	-0.59
MAGED2	NKI_187	-0.054
VAV3	NKI_187	-0.242
FBP1	NKI_187	0.053
BCL11A	NKI_187	0.265
SOD2	NKI_187	-0.2
AGR2	NKI_187	-0.431
ERBB4	NKI_187	-0.022
TNFRSF21	NKI_187	0.35
PHGDH	NKI_187	0.024
TFF3	NKI_187	-0.23
STS-1	NKI_187	-0.039
TCEAL1	NKI_187	0.038
GABRP	NKI_187	0.226
FLJ21127	NKI_187	0.016
BCL2	NKI_187	-0.052
MOAP1	NKI_187	0.03
ACOT4	NKI_187	-0.302
YBX1	NKI_187	-0.113
SOD2	NKI_187	-0.223
MREG	NKI_187	-0.014
CDH3	NKI_187	0.154
C10orf38	NKI_187	0.201
RARRES1	NKI_187	-0.102
ABTB2	NKI_187	-0.064
RERG	NKI_187	-0.103
ST8SIA1	NKI_187	-0.004
SIRPA	NKI_187	0.057
MICALL1	NKI_187	0.01
CDCA7	NKI_187	-0.196
ERBB4	NKI_187	0.252
QSCN6L1	NKI_187	-0.077
CYP2B6	NKI_187	-0.795
CIRBP	NKI_187	0.214
ERBB3	NKI_187	-0.139
CHCHD5	NKI_187	-0.088
LOC124220	NKI_187	-0.138
TMCC2	NKI_187	-0.161
DACH1	NKI_187	-0.012
HMGCL	NKI_187	-0.119
NCOA7	NKI_187	0.111
FSCN1	NKI_187	0.092
KCNN4	NKI_187	0.193
CPEB2	NKI_187	0.085
CYP2B6	NKI_187	-0.598
AKR7A3	NKI_187	-0.441
FLJ20273	NKI_187	0.034
JMJD2B	NKI_187	-0.169
CDK2AP1	NKI_187	0.153
HEXIM1	NKI_187	-0.044
SH2D2A	NKI_187	-0.039
IFNAR2	NKI_187	0.065
ASNS	NKI_187	-0.201
MLZE	NKI_187	-0.126
SKP1A	NKI_187	-0.165
MYO5C	NKI_187	0.009
APOBEC3B	NKI_187	-0.159
LRBA	NKI_187	0.016
UBXD3	NKI_187	-0.236
DSC2	NKI_187	0.087
TEGT	NKI_187	-0.018
EML4	NKI_187	0.068
KARCA1	NKI_187	-0.344
GATA3	NKI_188	0.159
CA12	NKI_188	0.307
THSD4	NKI_188	0.187
AFF3	NKI_188	-0.251
TBC1D9	NKI_188	0.019
FOXA1	NKI_188	0.212
GREB1	NKI_188	0.309
DNALI1	NKI_188	0.055
VGLL1	NKI_188	-0.504
PRR15	NKI_188	-0.021
SLC7A2	NKI_188	0.084
XBP1	NKI_188	-0.081
SCUBE2	NKI_188	0.256
MYB	NKI_188	0.356
B3GNT5	NKI_188	-0.147
CELSR1	NKI_188	0.03
NAT1	NKI_188	0.694
MAGED2	NKI_188	-0.089
VAV3	NKI_188	0.429
FBP1	NKI_188	0.053
BCL11A	NKI_188	-0.262
SOD2	NKI_188	-0.175
AGR2	NKI_188	0.27
ERBB4	NKI_188	0.018
TNFRSF21	NKI_188	-0.129
PHGDH	NKI_188	-0.346
TFF3	NKI_188	-0.052
STS-1	NKI_188	-0.102
TCEAL1	NKI_188	0.235
GABRP	NKI_188	-0.324
FLJ21127	NKI_188	0.256
BCL2	NKI_188	0.176
MOAP1	NKI_188	0.089
ACOT4	NKI_188	0.194
YBX1	NKI_188	-0.186
SOD2	NKI_188	-0.185
MREG	NKI_188	0.333
CDH3	NKI_188	-0.32
C10orf38	NKI_188	-0.005
RARRES1	NKI_188	-0.248
ABTB2	NKI_188	-0.002
RERG	NKI_188	0.095
ST8SIA1	NKI_188	-0.155
SIRPA	NKI_188	-0.248
MICALL1	NKI_188	-0.183
CDCA7	NKI_188	-0.175
ERBB4	NKI_188	0.068
QSCN6L1	NKI_188	-0.013
CYP2B6	NKI_188	0.427
CIRBP	NKI_188	0.316
ERBB3	NKI_188	0.186
CHCHD5	NKI_188	0.055
LOC124220	NKI_188	0.203
TMCC2	NKI_188	-0.283
DACH1	NKI_188	0.162
HMGCL	NKI_188	0.12
NCOA7	NKI_188	-0.237
FSCN1	NKI_188	-0.203
KCNN4	NKI_188	-0.256
CPEB2	NKI_188	0.249
CYP2B6	NKI_188	0.385
AKR7A3	NKI_188	0.072
FLJ20273	NKI_188	0.242
JMJD2B	NKI_188	0.275
CDK2AP1	NKI_188	-0.048
HEXIM1	NKI_188	0.1
SH2D2A	NKI_188	-0.229
IFNAR2	NKI_188	-0.005
ASNS	NKI_188	-0.256
MLZE	NKI_188	-0.097
SKP1A	NKI_188	-0.034
MYO5C	NKI_188	0.239
APOBEC3B	NKI_188	-0.236
LRBA	NKI_188	-0.077
UBXD3	NKI_188	0.217
DSC2	NKI_188	-0.301
TEGT	NKI_188	0.169
EML4	NKI_188	-0.099
KARCA1	NKI_188	0.279
GATA3	NKI_189	-0.587
CA12	NKI_189	-0.344
THSD4	NKI_189	-0.418
AFF3	NKI_189	-0.31
TBC1D9	NKI_189	-0.345
FOXA1	NKI_189	-0.185
GREB1	NKI_189	-0.5
DNALI1	NKI_189	-0.24
VGLL1	NKI_189	-0.461
PRR15	NKI_189	-0.471
SLC7A2	NKI_189	-0.373
XBP1	NKI_189	-0.433
SCUBE2	NKI_189	-0.76
MYB	NKI_189	-0.354
B3GNT5	NKI_189	0.152
CELSR1	NKI_189	-0.465
NAT1	NKI_189	-0.628
MAGED2	NKI_189	-0.228
VAV3	NKI_189	0.109
FBP1	NKI_189	-0.174
BCL11A	NKI_189	0.061
SOD2	NKI_189	0.006
AGR2	NKI_189	-0.076
ERBB4	NKI_189	0.341
TNFRSF21	NKI_189	0.104
PHGDH	NKI_189	0.113
TFF3	NKI_189	-0.844
STS-1	NKI_189	-0.019
TCEAL1	NKI_189	0.007
GABRP	NKI_189	-0.151
FLJ21127	NKI_189	-0.107
BCL2	NKI_189	-0.076
MOAP1	NKI_189	0.098
ACOT4	NKI_189	-0.316
YBX1	NKI_189	0.017
SOD2	NKI_189	0.03
MREG	NKI_189	-0.055
CDH3	NKI_189	-0.001
C10orf38	NKI_189	0.091
RARRES1	NKI_189	0.039
ABTB2	NKI_189	-0.036
RERG	NKI_189	-0.092
ST8SIA1	NKI_189	0.042
SIRPA	NKI_189	-0.143
MICALL1	NKI_189	-0.295
CDCA7	NKI_189	0.188
ERBB4	NKI_189	0.162
QSCN6L1	NKI_189	-0.155
CYP2B6	NKI_189	-0.169
CIRBP	NKI_189	-0.071
ERBB3	NKI_189	-0.226
CHCHD5	NKI_189	-0.22
LOC124220	NKI_189	-0.368
TMCC2	NKI_189	-0.161
DACH1	NKI_189	-0.35
HMGCL	NKI_189	-0.039
NCOA7	NKI_189	0.328
FSCN1	NKI_189	-0.18
KCNN4	NKI_189	-0.189
CPEB2	NKI_189	-0.035
CYP2B6	NKI_189	-0.08
AKR7A3	NKI_189	-0.133
FLJ20273	NKI_189	-0.075
JMJD2B	NKI_189	-0.259
CDK2AP1	NKI_189	0.002
HEXIM1	NKI_189	-0.104
SH2D2A	NKI_189	0.191
IFNAR2	NKI_189	0.146
ASNS	NKI_189	0.119
MLZE	NKI_189	0.006
SKP1A	NKI_189	0.135
MYO5C	NKI_189	-0.089
APOBEC3B	NKI_189	0.231
LRBA	NKI_189	-0.067
UBXD3	NKI_189	-0.111
DSC2	NKI_189	-0.067
TEGT	NKI_189	-0.093
EML4	NKI_189	0.001
KARCA1	NKI_189	-0.146
GATA3	NKI_190	0.165
CA12	NKI_190	0.258
THSD4	NKI_190	-0.14
AFF3	NKI_190	-0.149
TBC1D9	NKI_190	0.479
FOXA1	NKI_190	-0.025
GREB1	NKI_190	-0.06
DNALI1	NKI_190	-0.006
VGLL1	NKI_190	-0.68
PRR15	NKI_190	0.237
SLC7A2	NKI_190	0.066
XBP1	NKI_190	0.189
SCUBE2	NKI_190	0.662
MYB	NKI_190	0.251
B3GNT5	NKI_190	-0.147
CELSR1	NKI_190	0.169
NAT1	NKI_190	-0.132
MAGED2	NKI_190	0.039
VAV3	NKI_190	-0.26
FBP1	NKI_190	0.209
BCL11A	NKI_190	-0.217
SOD2	NKI_190	-0.278
AGR2	NKI_190	0.207
ERBB4	NKI_190	0.065
TNFRSF21	NKI_190	-0.152
PHGDH	NKI_190	-0.047
TFF3	NKI_190	0.446
STS-1	NKI_190	-0.114
TCEAL1	NKI_190	0.274
GABRP	NKI_190	-0.387
FLJ21127	NKI_190	0.26
BCL2	NKI_190	0.233
MOAP1	NKI_190	0.347
ACOT4	NKI_190	0.073
YBX1	NKI_190	-0.278
SOD2	NKI_190	-0.264
MREG	NKI_190	0.113
CDH3	NKI_190	-0.214
C10orf38	NKI_190	0.088
RARRES1	NKI_190	-0.286
ABTB2	NKI_190	-0.039
RERG	NKI_190	0.329
ST8SIA1	NKI_190	0.014
SIRPA	NKI_190	-0.18
MICALL1	NKI_190	0.104
CDCA7	NKI_190	-0.438
ERBB4	NKI_190	0.214
QSCN6L1	NKI_190	-0.209
CYP2B6	NKI_190	-0.129
CIRBP	NKI_190	0.014
ERBB3	NKI_190	-0.143
CHCHD5	NKI_190	0.164
LOC124220	NKI_190	-0.347
TMCC2	NKI_190	-0.01
DACH1	NKI_190	0.675
HMGCL	NKI_190	-0.033
NCOA7	NKI_190	-0.25
FSCN1	NKI_190	-0.001
KCNN4	NKI_190	-0.373
CPEB2	NKI_190	0.106
CYP2B6	NKI_190	0.122
AKR7A3	NKI_190	-0.328
FLJ20273	NKI_190	0.127
JMJD2B	NKI_190	0.036
CDK2AP1	NKI_190	-0.007
HEXIM1	NKI_190	0.081
SH2D2A	NKI_190	-0.168
IFNAR2	NKI_190	0.03
ASNS	NKI_190	-0.028
MLZE	NKI_190	-0.121
SKP1A	NKI_190	0.105
MYO5C	NKI_190	0.186
APOBEC3B	NKI_190	-0.021
LRBA	NKI_190	-0.055
UBXD3	NKI_190	-0.004
DSC2	NKI_190	0.009
TEGT	NKI_190	0.219
EML4	NKI_190	-0.107
KARCA1	NKI_190	0.146
GATA3	NKI_191	0.151
CA12	NKI_191	0.38
THSD4	NKI_191	0.145
AFF3	NKI_191	0.039
TBC1D9	NKI_191	-0.158
FOXA1	NKI_191	0.072
GREB1	NKI_191	-0.033
DNALI1	NKI_191	0.079
VGLL1	NKI_191	-0.618
PRR15	NKI_191	0.105
SLC7A2	NKI_191	0.119
XBP1	NKI_191	0.157
SCUBE2	NKI_191	0.186
MYB	NKI_191	0.244
B3GNT5	NKI_191	-0.118
CELSR1	NKI_191	0.204
NAT1	NKI_191	0.39
MAGED2	NKI_191	-0.172
VAV3	NKI_191	0.187
FBP1	NKI_191	0.083
BCL11A	NKI_191	-0.333
SOD2	NKI_191	-0.28
AGR2	NKI_191	0.09
ERBB4	NKI_191	0.453
TNFRSF21	NKI_191	-0.357
PHGDH	NKI_191	-0.513
TFF3	NKI_191	-0.805
STS-1	NKI_191	-0.126
TCEAL1	NKI_191	0.366
GABRP	NKI_191	-0.487
FLJ21127	NKI_191	0.058
BCL2	NKI_191	0.281
MOAP1	NKI_191	0.081
ACOT4	NKI_191	0.037
YBX1	NKI_191	-0.201
SOD2	NKI_191	-0.334
MREG	NKI_191	0.067
CDH3	NKI_191	-0.677
C10orf38	NKI_191	-0.096
RARRES1	NKI_191	-0.255
ABTB2	NKI_191	-0.113
RERG	NKI_191	0.15
ST8SIA1	NKI_191	-0.146
SIRPA	NKI_191	-0.228
MICALL1	NKI_191	-0.15
CDCA7	NKI_191	-0.762
ERBB4	NKI_191	0.483
QSCN6L1	NKI_191	-0.36
CYP2B6	NKI_191	-0.079
CIRBP	NKI_191	0.151
ERBB3	NKI_191	-0.034
CHCHD5	NKI_191	0.029
LOC124220	NKI_191	-0.023
TMCC2	NKI_191	-0.135
DACH1	NKI_191	0.117
HMGCL	NKI_191	0.098
NCOA7	NKI_191	-0.252
FSCN1	NKI_191	-0.019
KCNN4	NKI_191	-0.226
CPEB2	NKI_191	0.443
CYP2B6	NKI_191	-0.114
AKR7A3	NKI_191	-0.221
FLJ20273	NKI_191	0.238
JMJD2B	NKI_191	0.259
CDK2AP1	NKI_191	-0.057
HEXIM1	NKI_191	0.128
SH2D2A	NKI_191	-0.297
IFNAR2	NKI_191	-0.105
ASNS	NKI_191	-0.266
MLZE	NKI_191	-0.125
SKP1A	NKI_191	0.031
MYO5C	NKI_191	0.195
APOBEC3B	NKI_191	-0.274
LRBA	NKI_191	0.083
UBXD3	NKI_191	0.079
DSC2	NKI_191	-0.214
TEGT	NKI_191	0.044
EML4	NKI_191	0.025
KARCA1	NKI_191	0.05
GATA3	NKI_192	0.199
CA12	NKI_192	0.124
THSD4	NKI_192	-0.092
